Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,Complain,Total_Offsprings,Living_With,Family_Size,Days_since_enrollment,Age,Total_Amount,Frequency,Total_purchases
Postgraduate,46377.0,89,37,0,46,4,3,0,1,0,1,Partner,3,120,45,90,0,6
Graduate,39747.0,43,80,15,93,20,13,52,3,0,1,Alone,2,77,35,273,0,10
Graduate,23976.0,68,14,1,21,2,3,25,3,0,1,Partner,3,184,39,66,0,7
Postgraduate,80950.0,44,525,147,112,219,147,63,1,0,0,Partner,2,458,62,1213,1,22
Graduate,27038.0,64,1,26,25,17,23,15,1,0,0,Alone,1,649,57,107,6,6
Graduate,77457.0,85,675,11,400,15,45,11,1,0,0,Alone,1,116,76,1157,5,17
Postgraduate,64100.0,93,509,0,27,0,0,10,1,0,1,Partner,3,292,59,546,4,17
Postgraduate,42670.0,12,154,2,46,20,4,15,1,0,0,Partner,2,428,31,241,0,10
Graduate,12571.0,86,3,5,14,2,12,17,4,0,1,Alone,2,162,47,53,0,7
Graduate,22574.0,28,25,0,8,2,0,2,2,0,3,Partner,5,244,56,37,0,5
Postgraduate,70893.0,42,768,44,561,77,44,14,1,0,0,Alone,1,508,47,1508,0,22
Graduate,54198.0,13,185,0,28,3,2,17,6,0,2,Partner,4,194,57,235,0,10
Postgraduate,28839.0,86,24,0,7,0,0,1,2,0,2,Partner,4,110,67,32,0,5
Graduate,40321.0,59,44,4,21,6,0,27,2,0,2,Partner,4,335,51,102,0,6
Graduate,66503.0,30,91,64,128,65,3,50,2,0,1,Alone,2,684,38,401,0,13
Graduate,30833.0,33,11,0,7,3,1,6,2,0,2,Partner,4,348,72,28,0,4
Graduate,64795.0,23,412,5,119,38,29,77,3,0,1,Partner,3,528,52,680,0,18
Graduate,34421.0,81,3,3,7,6,2,9,1,0,1,Partner,3,363,49,30,0,3
Postgraduate,47025.0,6,16,0,3,0,0,1,1,0,2,Alone,3,140,58,20,0,3
Postgraduate,64325.0,41,731,60,353,78,12,73,5,0,1,Alone,2,507,62,1307,0,18
Graduate,40464.0,78,424,17,118,7,23,41,6,0,1,Alone,2,534,70,630,0,18
Graduate,62187.0,49,792,0,275,45,45,126,1,0,0,Partner,2,359,66,1283,0,17
Postgraduate,14849.0,39,21,2,28,3,2,9,3,0,1,Alone,2,362,47,65,0,6
Graduate,27255.0,3,22,1,11,0,1,2,1,0,1,Partner,3,234,39,37,0,4
Postgraduate,54432.0,37,33,0,5,0,0,0,1,0,3,Partner,5,416,73,38,0,4
Postgraduate,29999.0,22,68,7,59,10,5,11,4,0,1,Alone,2,501,37,160,0,8
Graduate,24072.0,79,9,1,6,3,0,4,1,0,1,Alone,2,439,40,23,0,3
Postgraduate,33996.0,46,40,2,15,8,0,6,1,0,0,Alone,1,291,34,71,0,5
Postgraduate,66334.0,82,909,11,218,0,0,23,2,0,1,Partner,3,452,67,1161,6,17
Postgraduate,35178.0,10,23,1,13,2,2,18,1,0,1,Partner,3,535,52,59,9,4
Graduate,22010.0,51,11,2,9,3,0,8,2,0,1,Partner,3,364,40,33,0,5
Graduate,62204.0,38,317,46,247,151,46,139,1,0,2,Alone,3,655,63,946,0,21
Graduate,75693.0,10,797,153,293,72,97,30,1,0,0,Alone,1,570,55,1442,16,21
Graduate,30675.0,14,10,2,16,11,2,21,1,0,1,Partner,3,594,51,62,0,4
Graduate,83003.0,18,856,61,570,40,25,122,1,0,0,Partner,2,483,58,1674,11,21
Postgraduate,83532.0,36,755,144,562,104,64,224,1,0,0,Partner,2,276,124,1853,5,14
Graduate,68655.0,95,456,19,832,75,118,38,1,0,0,Alone,1,688,35,1538,0,20
Graduate,41411.0,11,37,32,38,11,3,18,1,0,0,Alone,1,204,37,139,0,7
Postgraduate,55212.0,65,1103,0,45,0,0,34,3,0,1,Partner,3,583,54,1182,6,17
Postgraduate,59292.0,71,378,14,68,19,14,14,2,0,1,Partner,3,381,73,507,0,16
Undergraduate,27190.0,13,1,6,7,0,1,3,1,0,1,Partner,3,318,50,18,9,3
Graduate,82623.0,58,204,34,204,172,153,173,1,0,0,Alone,1,231,71,940,0,15
Graduate,44300.0,65,30,0,9,0,0,3,2,0,2,Partner,4,371,58,42,0,4
Graduate,84835.0,0,189,104,379,111,189,218,1,0,0,Alone,1,13,53,1190,6,14
Graduate,30372.0,33,15,0,12,7,3,7,3,0,2,Alone,3,551,52,44,0,5
Postgraduate,33181.0,90,9,0,3,0,0,4,1,0,1,Partner,3,177,47,16,3,3
Graduate,71113.0,95,495,33,255,11,33,8,4,0,1,Partner,3,194,66,835,0,22
Graduate,71952.0,93,656,80,455,52,107,93,2,0,1,Partner,3,535,37,1443,8,20
Postgraduate,69759.0,38,452,20,514,13,30,0,3,0,0,Alone,1,244,57,1029,6,15
Graduate,72099.0,18,546,91,410,119,0,22,1,0,0,Partner,2,610,49,1188,0,17
Postgraduate,60000.0,57,1048,0,217,0,0,12,5,0,1,Alone,2,554,47,1277,0,19
Graduate,38643.0,45,22,2,14,0,1,10,2,1,2,Alone,3,212,45,49,0,5
Graduate,50737.0,61,78,0,11,0,0,10,1,0,1,Partner,3,414,68,99,4,6
Postgraduate,68462.0,6,561,64,785,84,128,48,1,0,0,Partner,2,564,54,1670,0,14
Postgraduate,65073.0,65,629,17,177,69,0,8,1,1,0,Partner,2,313,80,900,0,13
Postgraduate,46681.0,52,269,15,69,15,19,38,2,0,2,Partner,4,264,75,425,0,14
Graduate,78618.0,87,736,163,818,212,163,61,1,0,0,Partner,2,639,66,2153,4,21
Postgraduate,62187.0,38,512,0,83,0,0,41,3,0,1,Alone,2,99,54,636,0,18
Graduate,28442.0,53,19,3,10,11,8,6,3,0,2,Partner,4,125,45,57,0,7
Postgraduate,37717.0,31,9,0,6,4,1,5,1,0,1,Partner,3,583,45,25,0,3
Graduate,51479.0,67,247,8,160,6,8,65,7,0,2,Partner,4,548,56,494,0,15
Graduate,54803.0,65,404,0,92,28,27,142,2,0,1,Alone,2,677,54,693,0,17
Graduate,79530.0,64,333,0,815,129,42,29,1,0,0,Partner,2,408,63,1348,0,25
Graduate,31615.0,82,2,3,20,6,11,9,2,0,1,Alone,2,470,47,51,0,5
Graduate,72025.0,27,833,33,549,151,133,233,1,0,0,Partner,2,589,61,1932,0,15
Postgraduate,52614.0,63,789,0,142,12,9,38,2,0,1,Alone,2,575,48,990,0,14
Undergraduate,35684.0,66,10,4,7,0,6,3,1,0,1,Partner,3,68,39,30,0,4
Graduate,48178.0,69,159,4,45,6,2,38,6,0,2,Partner,4,609,48,254,0,10
Postgraduate,29548.0,52,7,1,6,3,1,11,1,0,1,Alone,2,304,53,29,3,4
Graduate,63810.0,45,977,12,253,16,12,101,4,0,1,Alone,2,595,57,1371,4,19
Postgraduate,38578.0,2,38,4,22,3,3,3,3,0,2,Alone,3,372,51,73,6,6
Postgraduate,46098.0,86,57,0,27,0,0,36,4,0,2,Alone,3,680,48,120,0,7
Graduate,22585.0,23,3,9,15,13,2,39,1,0,0,Alone,1,468,53,81,9,4
Graduate,30279.0,13,10,4,14,4,4,1,1,0,1,Alone,2,546,34,37,0,4
Postgraduate,66426.0,14,1043,24,97,32,24,157,2,0,1,Partner,3,270,62,1377,0,18
Graduate,30822.0,92,3,9,13,2,12,12,1,0,1,Alone,2,380,54,51,0,4
Postgraduate,33581.0,38,11,0,5,0,0,1,1,0,2,Partner,4,537,54,17,0,3
Graduate,19986.0,74,3,6,5,0,2,6,1,0,1,Partner,3,227,38,22,0,3
Graduate,27421.0,14,43,12,96,78,40,55,3,0,0,Alone,1,564,69,324,0,11
Undergraduate,35688.0,94,73,3,90,12,1,32,7,0,3,Partner,5,676,50,211,0,9
Postgraduate,36143.0,33,12,0,1,0,0,6,1,0,1,Alone,2,91,42,19,0,3
Graduate,10245.0,32,4,7,7,6,4,13,3,0,1,Alone,2,410,52,41,0,5
Postgraduate,43795.0,11,314,11,53,4,3,107,3,0,1,Partner,3,256,55,492,10,14
Graduate,63381.0,78,571,50,142,33,50,159,4,0,1,Partner,3,632,63,1005,0,22
Graduate,38823.0,56,70,0,11,2,8,23,1,0,1,Partner,3,668,74,114,0,6
Postgraduate,83664.0,57,866,21,151,28,21,86,3,0,2,Alone,3,417,55,1173,0,16
Graduate,90300.0,7,594,134,786,33,134,57,0,0,0,Partner,2,177,44,1738,5,19
Postgraduate,62499.0,0,140,4,61,0,13,4,2,0,1,Partner,3,202,44,222,0,10
Graduate,74293.0,66,375,152,335,93,91,81,1,0,0,Alone,1,56,30,1127,0,15
Postgraduate,51012.0,86,102,9,63,2,9,24,1,0,0,Partner,2,437,77,209,0,9
Postgraduate,70777.0,80,554,35,113,0,7,78,3,0,1,Partner,3,124,55,787,0,20
Postgraduate,68682.0,56,919,0,505,99,30,45,1,0,0,Partner,2,266,32,1598,0,23
Graduate,43824.0,18,96,1,42,12,3,32,4,0,2,Partner,4,652,52,186,0,8
Graduate,15345.0,51,5,2,16,3,2,19,2,0,1,Partner,3,667,39,47,6,4
Graduate,23442.0,71,2,0,6,8,6,5,1,0,1,Alone,2,552,36,27,0,4
Undergraduate,14515.0,71,6,4,9,6,36,35,4,0,1,Partner,3,597,43,96,6,7
Undergraduate,31395.0,80,23,1,25,0,8,7,4,0,2,Alone,3,463,67,64,0,6
Graduate,75276.0,2,610,105,125,137,42,21,1,0,0,Partner,2,640,58,1040,0,22
Graduate,42373.0,83,67,5,61,3,8,19,5,0,2,Alone,3,318,49,163,0,8
Graduate,30507.0,29,65,36,74,38,20,110,1,0,0,Partner,2,475,63,343,0,10
Postgraduate,55521.0,11,416,0,26,0,0,4,9,0,3,Alone,4,250,68,446,10,15
Graduate,48006.0,55,23,0,11,3,2,2,1,0,2,Partner,4,20,58,41,0,4
Postgraduate,27213.0,19,19,3,26,10,9,3,3,0,1,Alone,2,668,51,70,6,6
Postgraduate,65808.0,1,155,7,80,13,7,10,3,0,2,Alone,3,30,52,272,0,11
Postgraduate,30351.0,19,14,0,24,3,3,2,1,0,1,Partner,3,388,49,46,0,5
Graduate,50437.0,28,370,9,92,6,9,4,3,0,2,Partner,4,620,60,490,0,16
Undergraduate,23616.0,76,4,22,11,3,7,32,2,0,1,Alone,2,589,41,79,6,6
Graduate,53858.0,50,407,53,221,58,150,26,4,0,1,Partner,3,597,47,915,0,13
Postgraduate,66465.0,1,1200,0,204,38,29,14,3,0,1,Partner,3,456,68,1485,1,32
Graduate,46923.0,90,85,44,54,102,78,6,3,0,1,Alone,2,676,36,369,0,13
Graduate,75072.0,83,583,34,309,0,22,125,2,0,1,Partner,3,522,61,1073,0,17
Postgraduate,75865.0,73,483,0,591,156,0,12,1,0,0,Partner,2,90,80,1242,0,18
Undergraduate,19789.0,24,2,5,9,28,6,28,3,0,1,Partner,3,221,48,78,3,6
Graduate,80134.0,11,966,26,282,52,26,26,1,0,0,Partner,2,135,29,1378,12,20
Graduate,91065.0,33,822,114,108,179,137,114,1,0,0,Alone,1,492,42,1474,12,25
Postgraduate,49505.0,4,604,0,100,19,0,28,9,0,2,Partner,4,481,52,751,0,20
Postgraduate,37401.0,14,19,3,19,3,1,3,2,0,1,Partner,3,54,50,48,0,5
Graduate,30096.0,30,5,3,11,12,5,9,1,0,1,Partner,3,38,40,45,0,5
Postgraduate,18492.0,75,2,2,2,2,1,1,1,0,1,Partner,3,24,41,10,0,3
Postgraduate,82584.0,26,1076,68,103,29,91,68,1,0,0,Partner,2,390,49,1435,15,15
Postgraduate,93027.0,77,1285,42,716,55,0,21,0,0,0,Partner,2,442,82,2119,5,22
Graduate,48686.0,8,10,0,7,2,0,1,1,0,3,Partner,5,207,70,20,0,3
Graduate,92910.0,42,551,137,792,179,103,33,1,0,0,Partner,2,66,37,1795,10,26
Graduate,75433.0,28,800,0,297,0,34,57,2,0,1,Partner,3,85,34,1188,5,17
Undergraduate,10404.0,52,2,2,11,10,6,12,2,0,1,Partner,3,56,34,43,0,5
Graduate,61314.0,1,378,0,189,97,172,172,2,0,1,Partner,3,430,55,1008,0,22
Postgraduate,84865.0,1,1248,16,349,43,16,16,1,0,0,Alone,1,416,62,1688,18,15
Graduate,42387.0,42,235,0,235,19,4,191,5,0,1,Partner,3,608,34,684,0,16
Undergraduate,67309.0,76,515,47,181,149,95,95,15,0,2,Partner,4,522,56,1082,0,24
Graduate,75236.0,27,438,66,400,12,38,114,1,0,1,Partner,3,216,59,1068,0,24
Graduate,30015.0,28,25,0,22,2,3,5,2,0,1,Alone,2,147,53,57,0,5
Postgraduate,50943.0,49,31,0,7,2,0,6,1,0,1,Partner,3,373,67,46,0,4
Graduate,67272.0,12,357,35,271,28,28,14,3,0,1,Alone,2,190,57,733,0,20
Postgraduate,51529.0,14,400,4,35,6,0,22,2,0,1,Alone,2,295,74,467,0,15
Postgraduate,32011.0,89,99,0,15,2,1,5,3,0,1,Partner,3,311,52,122,0,7
Undergraduate,7500.0,96,1,11,5,4,6,9,2,0,1,Partner,3,507,37,36,0,5
Graduate,28691.0,56,5,4,13,8,0,4,1,0,1,Partner,3,360,34,34,0,4
Postgraduate,56223.0,72,77,28,31,16,0,4,2,0,1,Partner,3,191,75,156,0,8
Graduate,18100.0,14,3,1,2,4,3,1,1,0,0,Partner,2,327,77,14,0,3
Graduate,30279.0,13,10,4,14,4,4,1,1,0,1,Alone,2,546,34,37,0,4
Undergraduate,20130.0,99,0,6,3,7,6,12,1,0,0,Partner,2,104,49,34,0,4
Graduate,23295.0,72,0,0,1,2,12,5,1,0,0,Alone,1,351,64,20,0,3
Postgraduate,42618.0,92,76,14,74,13,5,10,2,0,1,Alone,2,263,51,192,0,9
Graduate,81246.0,87,398,190,537,61,156,37,1,0,0,Alone,1,182,59,1379,4,16
Graduate,24027.0,7,14,7,11,11,0,5,2,0,1,Partner,3,385,47,48,0,5
Postgraduate,55707.0,91,208,7,82,30,66,35,2,0,1,Partner,3,189,70,428,0,14
Graduate,57959.0,71,430,16,322,43,24,33,5,0,1,Alone,2,423,68,868,0,22
Graduate,56796.0,24,656,38,161,62,47,37,3,0,1,Partner,3,498,54,1001,0,24
Postgraduate,36230.0,17,14,2,30,8,2,3,1,0,1,Alone,2,255,52,59,0,6
Undergraduate,70829.0,87,141,70,106,72,19,23,2,0,2,Partner,4,210,43,431,0,14
Graduate,65991.0,21,507,19,364,25,47,9,3,0,1,Partner,3,660,47,971,0,24
Graduate,38988.0,90,164,24,103,12,3,42,7,0,3,Partner,5,678,51,348,0,12
Undergraduate,89572.0,44,606,24,974,197,194,64,1,0,0,Alone,1,652,57,2059,11,23
Postgraduate,42207.0,71,116,11,72,3,17,46,4,0,1,Partner,3,454,39,265,9,10
Graduate,50300.0,52,143,15,60,24,23,5,2,0,1,Partner,3,35,71,270,0,11
Undergraduate,66664.0,78,398,96,447,220,96,32,1,0,0,Partner,2,642,41,1289,0,18
Graduate,60597.0,2,522,0,257,32,16,66,4,0,1,Partner,3,179,59,893,7,12
Graduate,70165.0,60,161,0,253,199,191,122,1,0,0,Alone,1,280,74,926,0,21
Postgraduate,50520.0,25,112,0,6,2,1,14,2,0,1,Alone,2,152,65,135,0,7
Graduate,80124.0,47,483,84,398,205,84,241,1,0,0,Partner,2,3,60,1495,3,18
Graduate,33183.0,46,7,5,39,17,15,37,2,0,1,Partner,3,125,48,120,0,7
Postgraduate,66582.0,83,789,25,420,16,38,0,1,0,0,Alone,1,118,54,1288,0,19
Postgraduate,75261.0,17,1239,17,413,23,34,17,1,0,0,Partner,2,432,68,1743,15,16
Graduate,31880.0,13,4,1,5,2,0,3,1,0,1,Alone,2,606,53,15,0,3
Graduate,53790.0,86,335,42,127,28,5,5,3,0,2,Partner,4,115,72,542,0,17
Postgraduate,49269.0,92,639,8,166,11,8,58,3,0,1,Partner,3,683,52,890,0,22
Graduate,61456.0,47,563,76,384,84,192,89,4,0,1,Partner,3,459,48,1388,0,29
Graduate,37406.0,18,2,0,8,2,2,3,1,0,1,Partner,3,262,43,17,6,3
Postgraduate,56937.0,81,746,8,125,11,8,8,7,0,1,Partner,3,694,42,906,10,23
Graduate,38415.0,91,22,1,13,4,0,4,2,0,2,Partner,4,543,45,44,0,4
Graduate,20518.0,58,4,1,6,4,1,9,1,0,1,Alone,2,42,35,25,0,4
Graduate,62503.0,40,478,0,193,110,75,117,4,0,1,Partner,3,496,67,973,0,22
Postgraduate,41644.0,67,20,3,4,2,0,2,2,0,2,Alone,3,51,51,31,0,4
Postgraduate,55842.0,19,451,0,39,0,4,24,1,0,1,Partner,3,37,46,518,0,16
Postgraduate,62010.0,93,371,22,39,6,0,92,4,0,1,Partner,3,614,51,530,0,15
Graduate,41124.0,41,281,7,84,15,0,119,7,0,1,Partner,3,606,46,506,0,14
Postgraduate,38961.0,60,19,7,19,0,1,24,1,0,1,Partner,3,181,50,70,0,5
Postgraduate,37760.0,54,26,3,13,2,10,0,1,0,1,Alone,2,322,51,54,0,5
Graduate,32233.0,26,138,15,35,25,11,72,2,0,1,Alone,2,679,49,296,9,10
Graduate,43057.0,30,213,2,44,0,2,5,4,0,1,Partner,3,242,48,266,0,11
Postgraduate,83151.0,93,407,28,100,120,74,18,1,0,0,Partner,2,627,63,747,0,18
Postgraduate,78825.0,35,483,74,114,169,37,18,1,0,0,Alone,1,653,59,895,6,28
Postgraduate,65104.0,4,738,0,232,13,20,50,2,0,1,Partner,3,227,47,1053,0,15
Graduate,60093.0,92,502,12,109,16,6,90,2,0,1,Partner,3,368,49,735,0,19
Graduate,14045.0,24,11,0,5,2,1,1,1,0,1,Partner,3,154,54,20,0,4
Undergraduate,28457.0,96,24,1,108,29,29,14,1,0,0,Alone,1,609,71,205,0,9
Postgraduate,78952.0,11,1170,19,594,99,76,134,2,0,1,Partner,3,643,65,2092,0,19
Graduate,46310.0,99,185,2,88,15,5,14,2,0,1,Alone,2,573,47,309,0,12
Graduate,76005.0,72,983,20,389,240,50,40,1,0,0,Partner,2,492,68,1722,1,21
Postgraduate,58308.0,77,691,0,69,10,0,130,4,0,1,Alone,2,533,59,900,0,11
Postgraduate,55614.0,85,504,13,131,8,0,26,1,0,0,Alone,1,214,79,682,4,19
Postgraduate,59432.0,88,317,25,265,25,19,12,3,0,1,Alone,2,442,61,663,0,19
Graduate,55563.0,22,29,1,9,2,0,2,1,0,1,Alone,2,85,45,43,0,5
Postgraduate,78642.0,83,1396,0,322,46,35,17,1,0,1,Partner,3,434,52,1816,0,17
Postgraduate,67911.0,63,529,0,356,63,28,0,3,0,1,Partner,3,38,74,976,0,24
Graduate,65275.0,9,388,14,218,91,14,21,1,0,0,Partner,2,452,79,746,0,20
Graduate,27203.0,92,13,2,21,4,0,24,2,0,2,Partner,4,692,73,64,0,4
Postgraduate,48330.0,2,28,0,4,0,0,0,1,0,1,Partner,3,226,62,32,0,4
Undergraduate,24279.0,6,16,36,21,20,62,108,1,0,0,Partner,2,547,33,263,0,8
Postgraduate,64355.0,66,1047,0,140,67,38,153,2,0,1,Partner,3,674,38,1445,0,19
Postgraduate,50943.0,49,31,0,7,2,0,6,1,0,1,Partner,3,373,67,46,0,4
Graduate,53653.0,29,815,10,239,28,10,108,2,0,0,Alone,1,599,70,1210,0,26
Graduate,65665.0,77,225,162,387,106,36,29,1,0,1,Partner,3,209,47,945,0,23
Graduate,81217.0,77,493,70,324,146,40,84,1,0,0,Alone,1,345,34,1157,0,21
Graduate,34935.0,71,34,4,66,3,10,20,1,0,0,Partner,2,373,31,137,0,7
Graduate,61250.0,49,382,138,65,60,26,59,6,0,1,Alone,2,560,64,730,0,19
Postgraduate,39665.0,97,127,1,56,0,1,31,3,0,1,Partner,3,400,42,216,3,9
Graduate,60152.0,6,325,83,300,86,58,91,1,0,1,Alone,2,458,44,943,0,22
Graduate,48920.0,93,238,17,68,8,10,6,3,0,2,Partner,4,252,59,347,4,13
Postgraduate,89120.0,78,1168,92,408,72,129,55,1,0,0,Partner,2,104,64,1924,5,18
Postgraduate,44124.0,62,284,0,55,0,6,52,4,0,1,Partner,3,414,77,397,0,13
Postgraduate,81169.0,47,1288,20,613,80,61,27,1,0,0,Alone,1,441,48,2089,0,21
Graduate,36443.0,9,65,0,46,4,3,20,4,0,2,Partner,4,511,62,138,0,7
Graduate,26095.0,77,11,7,9,3,1,11,1,0,1,Alone,2,364,33,42,0,4
Graduate,71367.0,24,227,23,389,42,21,75,1,0,0,Partner,2,310,64,777,0,16
Postgraduate,80184.0,19,1035,134,670,25,38,0,1,0,0,Partner,2,120,79,1902,6,19
Graduate,30630.0,67,27,1,12,2,0,10,2,0,2,Alone,3,153,58,52,0,5
Postgraduate,73454.0,95,982,73,351,56,14,175,1,0,0,Alone,1,120,36,1651,3,12
Graduate,42691.0,48,179,2,64,38,17,58,1,0,0,Partner,2,317,32,358,0,12
Graduate,70503.0,73,1379,33,216,0,33,66,1,0,0,Partner,2,637,70,1727,9,15
Graduate,25545.0,35,32,1,64,16,12,85,3,0,1,Partner,3,659,36,210,6,7
Graduate,32880.0,76,8,4,15,7,6,2,1,0,1,Partner,3,572,37,42,0,4
Postgraduate,77863.0,20,881,38,319,16,25,12,1,0,0,Partner,2,214,65,1291,0,19
Postgraduate,50353.0,72,141,15,153,67,31,35,1,0,0,Partner,2,21,46,442,0,14
Graduate,61839.0,20,1000,155,379,224,17,120,1,0,0,Alone,1,686,59,1895,0,16
Postgraduate,49154.0,69,206,10,67,30,27,71,6,0,2,Partner,4,238,63,411,0,13
Undergraduate,47682.0,80,162,61,83,97,57,61,4,0,1,Alone,2,499,48,521,0,15
Graduate,72679.0,65,619,54,260,127,54,54,1,0,1,Alone,2,284,54,1168,0,16
Postgraduate,57954.0,52,456,4,24,0,0,9,7,0,2,Partner,4,11,46,493,4,16
Graduate,65316.0,65,112,6,92,3,9,38,2,0,2,Partner,4,431,61,260,0,10
Graduate,28567.0,57,11,3,22,2,2,6,2,0,1,Alone,2,377,41,46,0,5
Postgraduate,47352.0,70,172,12,112,8,0,15,4,0,1,Partner,3,444,72,319,0,12
Graduate,44931.0,0,78,0,11,0,0,7,1,0,1,Partner,3,162,56,96,0,6
Graduate,76982.0,19,464,151,292,65,60,30,1,0,0,Alone,1,134,56,1062,11,15
Undergraduate,57247.0,50,99,4,32,37,54,6,2,0,1,Partner,3,325,71,232,0,10
Postgraduate,22944.0,67,19,3,19,4,5,26,3,0,1,Alone,2,188,42,76,0,6
Undergraduate,25315.0,46,1,9,8,11,3,22,3,0,1,Partner,3,234,46,54,0,6
Graduate,43638.0,37,63,10,83,7,19,19,2,0,1,Alone,2,692,54,201,0,9
Postgraduate,42710.0,38,252,3,42,4,3,102,2,0,1,Alone,2,578,39,406,0,12
Postgraduate,84169.0,9,1478,19,403,0,19,0,1,0,0,Partner,2,326,41,1919,15,19
Graduate,54058.0,56,198,18,252,32,108,54,2,0,1,Partner,3,390,47,662,0,18
Undergraduate,24683.0,98,8,4,10,6,7,6,2,0,1,Partner,3,113,33,41,0,6
Graduate,85620.0,68,416,46,925,60,107,46,1,0,0,Alone,1,173,59,1600,6,13
Graduate,47850.0,72,42,7,43,20,12,10,1,0,1,Partner,3,208,43,134,0,7
Graduate,19514.0,47,14,3,21,2,1,28,4,0,2,Partner,4,154,55,69,9,6
Postgraduate,27159.0,33,17,0,3,0,0,1,2,0,2,Partner,4,92,50,21,0,4
Undergraduate,39548.0,87,15,4,10,3,4,18,2,0,2,Alone,3,90,60,54,0,5
Graduate,21474.0,0,6,16,24,11,0,34,2,0,1,Alone,2,82,34,91,9,6
Postgraduate,60504.0,73,458,0,24,6,4,34,2,0,1,Alone,2,142,52,526,0,16
Graduate,22419.0,74,30,3,47,19,21,42,1,0,0,Partner,2,437,60,162,0,7
Postgraduate,81698.0,4,179,28,520,111,123,47,1,0,0,Partner,2,235,74,1008,6,24
Graduate,43462.0,50,90,17,97,15,6,15,6,0,2,Partner,4,655,71,240,0,10
Postgraduate,54880.0,57,308,85,137,102,45,118,2,0,1,Alone,2,485,45,795,0,19
Graduate,79908.0,30,557,129,761,29,185,111,1,0,0,Partner,2,450,41,1772,5,18
Undergraduate,15315.0,27,7,4,13,15,8,17,2,0,0,Partner,2,330,53,64,0,6
Graduate,87771.0,61,1492,38,287,50,57,33,1,0,1,Partner,3,403,64,1957,18,19
Graduate,33039.0,4,30,8,12,8,8,12,1,0,1,Partner,3,293,45,78,0,6
Graduate,81741.0,75,249,153,940,58,134,38,0,0,0,Alone,1,378,43,1572,0,19
Postgraduate,71499.0,12,465,25,132,136,0,37,2,0,1,Partner,3,369,52,795,0,24
Undergraduate,62466.0,13,129,129,259,168,121,83,5,0,1,Partner,3,165,53,889,0,21
Postgraduate,48799.0,9,174,18,81,28,6,24,3,0,1,Alone,2,236,60,331,0,12
Postgraduate,52157.0,48,189,2,29,3,2,40,2,0,1,Partner,3,22,73,265,0,10
Graduate,66565.0,80,747,10,161,65,40,42,4,0,1,Alone,2,571,61,1065,0,15
Postgraduate,29298.0,60,6,0,2,2,0,1,1,0,2,Partner,4,295,72,11,0,3
Graduate,47691.0,43,14,0,3,0,0,4,1,0,1,Alone,2,359,44,21,0,3
Graduate,38200.0,19,12,0,4,0,0,1,1,0,2,Partner,4,569,53,17,0,3
Graduate,44989.0,26,98,0,106,49,10,106,5,0,1,Partner,3,655,49,369,0,11
Postgraduate,38443.0,58,32,0,5,0,0,1,2,0,2,Partner,4,153,55,38,0,4
Undergraduate,38593.0,42,51,12,49,17,24,24,3,0,1,Alone,2,289,45,177,0,8
Postgraduate,64413.0,27,200,5,44,0,10,20,1,0,1,Partner,3,332,53,279,0,11
Postgraduate,36959.0,56,25,6,25,6,0,0,2,0,1,Partner,3,270,42,62,0,5
Postgraduate,61996.0,27,1050,12,144,0,0,24,3,0,1,Partner,3,514,46,1230,13,18
Graduate,51287.0,10,117,0,22,13,0,30,3,0,2,Partner,4,89,55,182,0,8
Graduate,13260.0,48,9,4,17,10,2,7,4,0,2,Partner,4,310,53,49,0,6
Postgraduate,47472.0,39,56,0,11,0,0,8,2,0,2,Partner,4,286,57,75,0,6
Postgraduate,54603.0,85,145,13,46,17,2,4,6,0,2,Partner,4,355,67,227,0,10
Postgraduate,45207.0,64,203,0,10,0,0,2,5,0,2,Partner,4,596,49,215,4,10
Graduate,40689.0,69,270,3,27,39,6,99,7,0,1,Partner,3,468,72,444,0,13
Undergraduate,47821.0,54,9,0,16,6,6,10,1,0,2,Partner,4,252,56,47,0,4
Postgraduate,27450.0,57,37,12,23,8,11,52,1,0,0,Partner,2,440,72,143,0,6
Graduate,39453.0,64,46,0,7,0,0,2,2,0,1,Partner,3,87,40,55,0,5
Undergraduate,26850.0,10,31,1,13,7,2,9,4,0,2,Partner,4,72,52,63,0,7
Graduate,79800.0,65,1060,21,530,32,0,224,1,0,0,Alone,1,644,68,1867,15,21
Postgraduate,61794.0,74,264,47,188,54,47,11,2,0,1,Partner,3,288,62,611,0,18
Graduate,53863.0,4,399,4,30,6,4,30,3,0,1,Partner,3,43,68,473,4,15
Graduate,24221.0,94,8,9,9,2,5,22,1,0,0,Partner,2,313,64,55,0,5
Postgraduate,39684.0,41,19,0,35,6,4,17,2,1,1,Alone,2,625,39,81,6,5
Postgraduate,92163.0,25,817,183,797,106,163,20,0,0,0,Partner,2,564,48,2086,12,21
Postgraduate,69882.0,94,292,127,635,132,127,165,1,0,0,Alone,1,231,58,1478,0,19
Graduate,33178.0,9,12,6,2,11,2,16,1,0,1,Partner,3,150,46,49,0,4
Postgraduate,59973.0,47,130,30,168,20,34,0,1,0,0,Partner,2,291,51,382,0,14
Postgraduate,17459.0,12,6,4,16,3,10,30,3,0,1,Partner,3,283,48,69,6,6
Graduate,23910.0,80,16,12,18,7,1,13,1,0,1,Alone,2,611,54,67,0,5
