Education,Marital_Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,DealsPurchases,Web,Catalog,Store,WebVisitsMonth,Complain,Response,Age,Living_With,Total_Offsprings,Total_Expenditure,Family_Size,Total_Purchases,Campaigns_Accepted
Postgraduate,Married,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,72,Partner,One Child,143,2,14,0
Graduate,Together,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,40,Partner,Two Children,55,3,13,0
Undergraduate,Together,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,0,0,52,Partner,Three or More Children,63,4,15,0
Graduate,Widow,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,0,1,68,Alone,One Child,1867,1,25,3
Postgraduate,Married,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,0,0,62,Partner,Two Children,611,3,22,0
Graduate,Together,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,0,68,Partner,Two Children,473,3,25,1
Graduate,Together,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,64,Partner,One Child,55,2,10,0
Postgraduate,Single,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,1,1,39,Alone,Two Children,81,2,14,0
Postgraduate,Married,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,0,1,48,Partner,One Child,2086,2,23,2
Postgraduate,Single,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,58,Alone,One Child,1478,1,21,0
Graduate,Together,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,46,Partner,Two Children,49,3,9,0
Postgraduate,Married,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,51,Partner,One Child,382,2,16,0
Postgraduate,Together,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,0,1,48,Partner,Two Children,69,3,16,0
Graduate,Divorced,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,54,Alone,Two Children,67,2,13,0
Postgraduate,Married,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,0,0,54,Partner,Three or More Children,30,4,14,0
Undergraduate,Married,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,45,Partner,Two Children,63,3,15,0
Graduate,Together,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,42,Partner,Two Children,79,3,18,0
Graduate,Single,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,0,0,62,Alone,Two Children,42,2,12,0
Graduate,Together,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,0,0,63,Partner,Two Children,819,3,28,0
Graduate,Single,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,68,Alone,One Child,1151,1,18,0
Postgraduate,Married,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,0,0,75,Partner,Three or More Children,594,4,25,0
Postgraduate,Together,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,0,0,57,Partner,Three or More Children,129,4,18,0
Postgraduate,Single,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,0,1,37,Alone,Two Children,213,2,22,0
Graduate,Widow,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,50,Alone,Two Children,67,2,12,0
Graduate,Divorced,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,0,0,67,Alone,Three or More Children,28,4,12,0
Undergraduate,Married,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,0,0,48,Partner,Two Children,45,3,13,0
Graduate,Married,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,58,Partner,One Child,1193,2,21,1
Postgraduate,Single,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,54,Alone,One Child,268,1,18,0
Undergraduate,Married,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,50,Partner,Two Children,37,3,13,0
Graduate,Married,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,56,Partner,Three or More Children,37,5,14,0
Postgraduate,Single,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,0,1,54,Alone,One Child,882,1,30,0
Graduate,Married,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,0,0,49,Partner,Three or More Children,373,4,25,0
Postgraduate,Single,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,0,58,Alone,Three or More Children,35,4,14,0
Postgraduate,Together,162397.0,31,85,1,16,2,1,2,0,0,0,1,1,0,0,47,Partner,Three or More Children,107,4,2,0
Graduate,Widow,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,0,0,45,Alone,Three or More Children,42,3,9,0
Postgraduate,Married,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,0,63,Partner,Two Children,326,3,19,0
Postgraduate,Married,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,0,0,62,Partner,Two Children,404,3,23,0
Graduate,Single,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,52,Alone,One Child,95,1,13,0
Graduate,Widow,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,0,0,74,Alone,One Child,939,1,15,2
Undergraduate,Single,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,45,Alone,Two Children,33,2,12,0
Undergraduate,Married,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,68,Partner,One Child,981,2,24,1
Graduate,Married,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,47,Partner,Two Children,36,3,13,0
Graduate,Single,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,0,0,48,Alone,Two Children,1237,2,23,0
Graduate,Together,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,0,1,63,Partner,Two Children,1825,3,41,0
Postgraduate,Divorced,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,0,0,46,Alone,Three or More Children,103,3,18,0
Graduate,Single,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,46,Alone,Two Children,191,2,21,0
Postgraduate,Married,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,53,Partner,Two Children,1586,3,33,0
Postgraduate,Together,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,65,Partner,One Child,963,2,15,0
Undergraduate,Married,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,53,Partner,Two Children,889,3,30,0
Undergraduate,Single,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,0,1,63,Alone,One Child,93,1,14,1
Graduate,Single,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,0,1,50,Alone,One Child,1587,1,24,0
Graduate,Divorced,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,0,61,Alone,Three or More Children,16,4,11,0
Graduate,Single,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,71,Alone,One Child,1375,1,37,0
Graduate,Married,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,0,61,Partner,Two Children,393,3,18,0
Postgraduate,Divorced,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,0,1,73,Alone,Two Children,1477,2,33,0
Graduate,Married,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,0,0,52,Partner,Two Children,1179,3,20,1
Graduate,Together,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,63,Partner,Two Children,1005,3,28,0
Postgraduate,Together,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,75,Partner,One Child,1348,2,23,0
Postgraduate,Divorced,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,64,Alone,Two Children,1307,2,29,0
Graduate,Single,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,0,0,59,Alone,Two Children,486,2,20,1
Postgraduate,Together,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,76,Partner,One Child,2252,2,15,2
Postgraduate,Married,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,0,0,52,Partner,Three or More Children,235,4,23,0
Graduate,Together,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,0,1,53,Partner,One Child,1724,2,33,2
Postgraduate,Divorced,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,53,Alone,Two Children,235,2,15,0
Postgraduate,Married,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,0,0,46,Partner,Two Children,1092,3,32,0
Graduate,Together,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,0,0,65,Partner,Two Children,599,3,22,0
Postgraduate,Single,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,0,0,63,Alone,One Child,2008,1,20,1
Graduate,Together,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,38,Partner,Two Children,48,3,15,0
Graduate,Married,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,0,0,49,Partner,Two Children,1174,3,38,0
Postgraduate,Together,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,0,0,73,Partner,Two Children,67,3,9,0
Graduate,Divorced,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,0,68,Alone,Two Children,365,2,23,0
Graduate,Divorced,153924.0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,48,Alone,One Child,6,1,0,0
Graduate,Together,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,0,0,70,Partner,Two Children,165,3,16,0
Undergraduate,Together,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,65,Partner,One Child,210,2,17,0
Postgraduate,Together,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,0,0,76,Partner,Two Children,1095,3,30,0
Postgraduate,Single,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,0,0,57,Alone,Three or More Children,223,4,18,1
Graduate,Together,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,0,0,60,Partner,Two Children,597,3,28,0
Graduate,Married,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,38,Partner,Two Children,22,3,11,0
Graduate,Widow,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,48,Alone,Two Children,1064,2,28,0
Undergraduate,Married,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,43,Partner,One Child,74,2,14,0
Postgraduate,Together,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,67,Partner,One Child,26,2,11,0
Graduate,Married,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,64,Partner,One Child,60,2,13,0
Postgraduate,Together,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,0,0,49,Partner,Two Children,20,3,11,0
Undergraduate,Single,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,36,Alone,Two Children,59,2,13,0
Postgraduate,Married,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,55,Partner,Two Children,34,3,13,0
Undergraduate,Married,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,0,0,52,Partner,Three or More Children,198,4,15,0
Postgraduate,Married,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,0,0,59,Partner,Two Children,1048,3,33,0
Postgraduate,Single,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,0,0,61,Alone,Three or More Children,574,3,27,0
Graduate,Widow,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,0,0,53,Alone,Two Children,1029,2,20,0
Graduate,Married,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,0,0,43,Partner,Two Children,670,3,24,0
Postgraduate,Single,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,48,Alone,Two Children,990,2,24,0
Graduate,Married,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,49,Partner,Three or More Children,11,4,12,0
Postgraduate,Married,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,0,1,60,Partner,Two Children,1241,3,26,1
Graduate,Single,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,44,Alone,One Child,576,1,18,0
Undergraduate,Married,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,0,1,38,Partner,Two Children,172,3,21,1
Postgraduate,Single,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,43,Alone,One Child,664,1,22,0
Graduate,Divorced,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,0,60,Alone,Two Children,928,2,29,0
Graduate,Divorced,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,56,Alone,One Child,2074,1,37,0
Undergraduate,Together,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,41,Partner,One Child,467,2,23,0
Graduate,Together,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,0,0,68,Partner,Two Children,257,3,17,0
Graduate,Together,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,56,Partner,One Child,1146,2,18,0
Postgraduate,Divorced,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,0,0,47,Alone,Two Children,689,2,24,0
Postgraduate,Single,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,0,1,51,Alone,One Child,2114,1,24,0
Postgraduate,Married,160803.0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,41,Partner,One Child,1717,2,44,0
Postgraduate,Together,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,54,Partner,One Child,1044,2,17,0
Postgraduate,Divorced,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,0,1,63,Alone,Two Children,493,2,28,1
Graduate,Single,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,53,Alone,One Child,957,1,15,0
Postgraduate,Together,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,0,0,65,Partner,Two Children,270,3,15,0
Undergraduate,Together,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,71,Partner,One Child,29,2,11,0
Postgraduate,Widow,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,1,74,Alone,Three or More Children,121,3,16,0
Postgraduate,Married,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,0,0,62,Partner,Three or More Children,126,4,11,0
Postgraduate,Single,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,0,1,74,Alone,Three or More Children,57,3,16,0
Graduate,Single,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,62,Alone,One Child,636,1,26,0
Graduate,Together,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,63,Partner,One Child,1004,2,32,1
Graduate,Divorced,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,0,0,50,Alone,Two Children,734,2,24,0
Graduate,Married,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,45,Partner,Three or More Children,614,4,24,0
Graduate,Divorced,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,0,0,45,Alone,Two Children,1453,2,29,1
Postgraduate,Single,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,35,Alone,One Child,1621,1,16,3
Postgraduate,Divorced,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,55,Alone,Two Children,187,2,19,0
Graduate,Married,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,0,0,37,Partner,Two Children,1443,3,26,2
Postgraduate,Divorced,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,53,Alone,Two Children,57,2,8,0
Graduate,Divorced,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,0,0,72,Alone,Two Children,637,2,28,0
Postgraduate,Together,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,0,0,75,Partner,Two Children,948,3,21,1
Postgraduate,Married,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,0,1,52,Partner,Two Children,59,3,12,1
Graduate,Married,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,37,Partner,Two Children,18,3,12,0
Postgraduate,Single,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,0,0,58,Alone,Two Children,903,2,31,0
Graduate,Single,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,48,Alone,Two Children,112,2,14,0
Graduate,Together,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,70,Partner,One Child,596,2,24,0
Graduate,Together,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,41,Partner,Two Children,233,3,20,0
Postgraduate,Married,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,48,Partner,One Child,1511,2,12,0
Undergraduate,Divorced,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,0,1,63,Alone,One Child,1152,1,19,1
Graduate,Together,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,45,Partner,Two Children,48,3,14,0
Graduate,Divorced,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,0,0,53,Alone,Two Children,1185,2,37,0
Graduate,Single,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,0,0,65,Alone,Three or More Children,21,3,11,0
Postgraduate,Married,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,58,Partner,Two Children,965,3,20,0
Graduate,Married,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,69,Partner,One Child,869,2,28,0
Postgraduate,Married,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,39,Partner,Two Children,16,3,13,0
Graduate,Married,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,58,Partner,One Child,1947,2,19,0
Graduate,Married,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,0,1,47,Partner,Two Children,71,3,21,1
Graduate,Married,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,57,Partner,Two Children,65,3,12,0
Graduate,Married,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,68,Partner,One Child,1380,2,26,1
Postgraduate,Divorced,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,47,Alone,One Child,1027,1,24,0
Postgraduate,Married,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,0,0,58,Partner,Three or More Children,411,5,28,0
Postgraduate,Divorced,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,0,0,74,Alone,Three or More Children,11,3,9,0
Postgraduate,Together,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,0,0,70,Partner,Three or More Children,480,4,31,0
Graduate,Married,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,45,Partner,Three or More Children,606,4,26,0
Postgraduate,Divorced,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,0,0,75,Alone,Three or More Children,284,4,24,0
Graduate,Divorced,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,0,0,50,Alone,Three or More Children,1472,3,19,3
Graduate,Married,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,74,Partner,One Child,1677,2,28,3
Graduate,Married,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,0,0,50,Partner,Two Children,1335,3,23,0
Postgraduate,Together,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,0,0,71,Partner,Two Children,334,3,15,0
Graduate,Together,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,0,0,54,Partner,Two Children,1338,3,24,0
Postgraduate,Single,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,0,0,70,Alone,Two Children,1099,2,35,0
Postgraduate,Together,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,0,0,67,Partner,Three or More Children,97,4,16,0
Postgraduate,Single,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,0,0,73,Alone,Three or More Children,63,4,14,0
Undergraduate,Together,38702.0,71,13,11,24,13,8,40,2,3,0,4,6,0,0,45,Partner,Two Children,109,3,15,0
Graduate,Married,82224.0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,59,Partner,One Child,902,2,24,1
Graduate,Together,83844.0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,71,Partner,One Child,1574,2,21,1
Undergraduate,Married,17003.0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,48,Partner,Two Children,38,3,14,0
Graduate,Single,33697.0,34,4,3,7,0,3,11,1,1,0,2,7,0,0,53,Alone,Two Children,28,2,11,1
Undergraduate,Married,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,0,1,69,Partner,One Child,1215,2,34,1
Postgraduate,Together,83443.0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,51,Partner,One Child,1497,2,24,0
Postgraduate,Together,51518.0,92,350,8,66,17,4,4,2,3,2,10,3,0,0,65,Partner,Two Children,449,3,20,0
Graduate,Widow,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,48,Alone,Two Children,1064,2,28,0
Graduate,Married,80952.0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,54,Partner,One Child,1757,2,33,3
Graduate,Together,75507.0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,44,Partner,One Child,1440,2,24,0
Undergraduate,Together,63855.0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,45,Partner,One Child,1006,2,28,0
Postgraduate,Together,62220.0,55,799,12,375,16,12,12,5,7,6,5,6,0,1,51,Partner,Two Children,1226,3,29,0
Graduate,Married,58512.0,25,895,10,101,13,0,152,5,3,4,8,8,0,0,59,Partner,Two Children,1171,3,28,0
Postgraduate,Married,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,44,Partner,Two Children,92,3,12,0
Postgraduate,Married,38829.0,86,76,0,7,0,0,16,1,3,2,2,5,0,0,64,Partner,Two Children,99,3,13,0
Undergraduate,Married,35523.0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,42,Partner,Two Children,66,3,15,0
Graduate,Single,79146.0,33,245,16,223,21,43,16,2,8,1,8,6,0,0,56,Alone,Three or More Children,564,3,25,0
Postgraduate,Married,78285.0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,35,Partner,One Child,1427,2,24,0
Postgraduate,Single,31626.0,12,39,1,9,2,1,34,1,2,1,2,7,0,1,45,Alone,Two Children,86,2,13,1
Graduate,Single,75127.0,92,203,35,305,46,17,227,1,2,11,5,1,0,0,71,Alone,One Child,833,1,20,0
Graduate,Married,48726.0,90,138,3,38,4,0,59,3,3,2,4,6,0,0,68,Partner,Two Children,242,3,18,0
Graduate,Married,74985.0,8,587,51,898,247,0,86,1,3,6,7,2,0,0,46,Partner,One Child,1869,2,19,0
Graduate,Together,67430.0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,36,Partner,One Child,1364,2,35,0
Undergraduate,Married,46891.0,91,43,12,23,29,15,61,1,2,1,4,4,0,0,58,Partner,Two Children,183,3,12,0
Postgraduate,Married,62058.0,52,301,7,74,10,0,58,4,6,1,7,6,0,0,67,Partner,Two Children,450,3,24,0
Graduate,Married,72063.0,3,180,32,348,76,32,90,2,5,2,12,2,0,0,44,Partner,Two Children,758,3,23,0
Postgraduate,Married,78939.0,57,794,115,243,150,0,205,1,8,5,6,3,0,0,72,Partner,One Child,1507,2,23,0
Graduate,Single,42720.0,9,392,5,91,28,26,112,8,7,3,7,8,0,1,58,Alone,Three or More Children,654,3,33,0
Graduate,Married,33622.0,22,39,1,22,3,4,12,3,2,0,4,7,0,0,51,Partner,Three or More Children,81,4,16,0
Postgraduate,Together,6835.0,76,107,2,12,2,2,12,0,0,0,1,20,0,0,66,Partner,Two Children,137,3,21,0
Graduate,Together,41452.0,86,13,0,3,0,0,0,1,1,0,2,7,0,0,70,Partner,Three or More Children,16,4,11,0
Postgraduate,Single,40760.0,64,70,0,17,0,0,6,2,2,1,3,6,0,0,58,Alone,Two Children,93,2,14,0
Postgraduate,Together,74250.0,90,680,11,392,75,0,0,1,2,11,4,1,0,0,65,Partner,One Child,1158,2,19,0
Postgraduate,Single,51124.0,79,26,1,11,0,1,4,2,1,0,3,3,0,0,68,Alone,Three or More Children,43,3,9,0
Graduate,Single,72258.0,28,522,0,522,227,120,134,2,6,9,5,2,0,0,52,Alone,Two Children,1525,2,24,0
Postgraduate,Single,71466.0,86,412,12,546,78,182,0,1,4,4,10,1,0,0,49,Alone,One Child,1230,1,20,0
Graduate,Together,36283.0,42,6,5,5,8,0,5,2,1,0,3,4,0,0,47,Partner,Three or More Children,29,4,10,0
Graduate,Single,20587.0,39,2,3,6,4,1,9,1,1,1,2,7,0,0,53,Alone,Two Children,25,2,12,0
Graduate,Married,30467.0,8,1,3,8,2,5,5,1,1,0,2,7,0,0,51,Partner,Two Children,24,3,11,0
Graduate,Together,31590.0,40,6,2,15,6,6,3,1,1,0,3,8,0,0,51,Partner,Two Children,38,3,13,0
Undergraduate,Married,20425.0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,37,Partner,Two Children,57,3,14,0
Postgraduate,Together,17144.0,96,18,2,19,0,2,6,5,3,0,4,7,0,0,63,Partner,Three or More Children,47,4,19,0
Postgraduate,Divorced,42564.0,28,324,48,186,39,18,198,6,6,8,4,7,0,1,55,Alone,Two Children,813,2,31,1
Postgraduate,Married,43783.0,22,327,9,125,25,4,139,6,7,1,8,7,0,0,45,Partner,Two Children,629,3,29,1
Graduate,Divorced,40780.0,30,229,27,71,13,3,34,4,7,1,5,9,0,0,47,Alone,Two Children,377,2,26,0
Postgraduate,Together,62847.0,45,521,168,706,80,76,61,1,3,6,4,2,0,0,78,Partner,One Child,1612,2,16,0
Postgraduate,Married,82017.0,58,184,23,446,30,23,23,1,5,4,7,2,0,1,66,Partner,One Child,729,2,19,3
Graduate,Single,16813.0,49,4,8,11,12,2,13,1,2,0,3,7,0,0,73,Alone,One Child,50,1,13,1
Graduate,Married,51267.0,37,183,2,64,7,2,12,4,3,3,5,4,0,0,45,Partner,Three or More Children,270,4,19,0
Graduate,Single,46524.0,70,31,19,35,26,14,52,2,1,1,5,3,0,0,62,Alone,Two Children,177,2,12,0
Postgraduate,Single,45183.0,33,219,3,60,12,9,12,1,4,1,7,7,0,0,61,Alone,One Child,315,1,20,1
Postgraduate,Married,70421.0,98,479,28,136,75,14,35,3,10,3,7,6,0,0,69,Partner,Two Children,767,3,29,0
Undergraduate,Divorced,60161.0,17,584,44,212,46,8,177,3,11,4,8,8,0,0,58,Alone,Two Children,1071,2,34,0
Graduate,Together,73926.0,54,627,91,597,159,91,15,1,6,5,12,3,0,0,50,Partner,One Child,1580,2,27,0
Graduate,Married,19329.0,39,24,1,16,12,2,5,3,4,0,3,8,0,0,55,Partner,Two Children,60,3,18,0
Postgraduate,Married,61872.0,81,330,5,159,36,27,16,4,4,4,9,4,0,0,53,Partner,Two Children,573,3,25,0
Graduate,Widow,46984.0,71,19,1,10,2,1,8,1,1,0,3,5,0,0,67,Alone,Three or More Children,41,3,10,0
Graduate,Married,34838.0,62,28,23,29,29,14,47,3,2,1,4,6,0,0,72,Partner,Three or More Children,170,4,16,0
Graduate,Married,48192.0,76,1039,43,204,153,58,29,3,2,8,12,8,0,1,65,Partner,One Child,1526,2,33,3
Postgraduate,Married,49681.0,66,411,0,26,0,0,21,6,7,1,7,7,0,0,47,Partner,Three or More Children,458,4,28,0
Postgraduate,Married,56850.0,83,34,1,19,2,7,0,1,1,1,3,2,0,0,52,Partner,Two Children,63,3,8,0
Graduate,Married,55267.0,28,161,28,136,32,3,45,4,3,4,6,3,0,0,66,Partner,Two Children,405,3,20,0
Graduate,Married,59666.0,87,623,53,178,23,17,133,7,3,2,8,8,0,0,51,Partner,Three or More Children,1027,4,28,1
Graduate,Single,72504.0,43,604,26,470,123,161,94,2,5,9,6,2,0,0,51,Alone,Two Children,1478,2,24,0
Graduate,Married,26872.0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,42,Partner,One Child,72,2,11,0
Graduate,Single,21359.0,1,12,2,17,6,1,10,2,2,0,3,8,0,1,51,Alone,Two Children,48,2,15,0
Graduate,Single,73170.0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,48,Alone,One Child,726,1,18,0
Postgraduate,Married,52750.0,72,393,0,239,90,69,69,6,5,7,9,4,0,0,68,Partner,Two Children,860,3,31,0
